,ap_consumer_facing | consumer_engagement | advocacy_media | influencer_management | influencer_management | engagements,ap_consumer_facing | consumer_engagement | paid_media | digital_tv | bvod | impressions,ap_consumer_facing | consumer_engagement | paid_media | online_multiformat_ads_transaction | amazon_retail | impressions,ap_consumer_facing | consumer_engagement | paid_media | online_multiformat_ads_transaction | tesco | impressions,ap_consumer_facing | consumer_engagement | paid_media | online_video_content_platforms | google_video | impressions,ap_consumer_facing | consumer_engagement | paid_media | online_video_content_platforms | youtube | impressions,ap_consumer_facing | consumer_engagement | paid_media | paid_search_awarenessconsideration | google | impressions,ap_consumer_facing | consumer_engagement | paid_media | paid_search_transaction | amazon | impressions,ap_consumer_facing | consumer_engagement | paid_media | paid_search_transaction | citrus | impressions,ap_consumer_facing | consumer_engagement | paid_media | paid_search_transaction | criteo | impressions,ap_consumer_facing | consumer_engagement | paid_media | social_media_awarenessconsideration | meta | impressions,ap_consumer_facing | consumer_engagement | paid_media | social_media_awarenessconsideration | pinterest | impressions,ap_consumer_facing | consumer_engagement | paid_media | social_media_awarenessconsideration | tik_tok | impressions,ap_consumer_facing | consumer_engagement | paid_media | social_media_transaction | meta | impressions,ap_consumer_facing | consumer_engagement | paid_media | social_media_transaction | meta_collab_ads | impressions,ap_consumer_facing | consumer_engagement | paid_media | social_media_transaction | tesco | impressions,ap_consumer_facing | consumer_engagement | paid_media | social_media_transaction | the_hut_group | impressions,ap_consumer_facing | consumer_engagement | paid_media | social_media_transaction | tik_tok | impressions,ap_consumer_facing | consumer_engagement | paid_media | traditional_tv | linear | grps,ap_consumer_facing | shopper_experience | shopper_experience | testers_and_merchandising | testers_and_merchandising | units,UK L'Oreal Paris Haircare Offline Average Price (in pound),UK L'Oreal Paris Haircare Online Average Price (in pound),UK L'Oreal Paris Haircare Total Weigheted Promotion Distribution (%),UK L'Oreal Paris Haircare Total Offline Sellout Value (in pound),UK L'Oreal Paris Haircare Total Offline Sellout Units,UK L'Oreal Paris Haircare Total Online Sellout Value (in pound),UK L'Oreal Paris Haircare Total Online Sellout Units
2022-01-03,107.43801653,0.0,613.431,0.0,0.0,0.0,374.88467406000007,4245.11099766,0.0,3053.20964,2322.307,0.0,0.0,0.0,918.38565,0.0,0.0,0.0,0.0,5303.0665259,2.323821607440973,3.2420713854161822,0.37,1583364.9,681362.5,362750.18,111888.4
2022-01-10,0.0,0.0,1065.064,0.0,0.0,0.0,333.48856632,6786.94901508,0.0,3387.9688765,3375.1900000000005,0.0,0.0,0.0,867.26952,0.0,0.0,0.0,0.0,4418.4028382,2.32864869343949,2.978818550981023,0.42,1753588.2,753049.7000000001,385263.71,129334.4
2022-01-17,0.0,0.0,1354.821,0.0,0.0,0.0,371.12945064,6653.39997517,0.0,3045.8495652,5137.405,0.0,0.0,0.0,1019.38005,0.0,0.0,0.0,0.0,6301.7528938,2.3782795301725006,3.0140394088669957,0.43,1690696.8,710890.7000000001,359523.06000000006,119282.8
2022-01-24,28484.999998,16158.5130096,2428.517,0.0,0.0,0.0,360.27026932,4944.75799961,0.0,2990.3114826,20303.14,0.0,0.0,0.0,1101.7515600000002,0.0,0.0,0.0,169674.7,9379.8628001,2.396989008169026,3.077403378537011,0.86,1748572.8,729487.2000000001,357843.85000000003,116281.1
2022-01-31,19172.91519,13465.4292266,2262.923,0.0,0.0,0.0,237.652458251,5821.348005330001,0.0,2979.3004787000004,28768.727013000003,0.0,0.0,0.0,987.27993,0.0,0.0,0.0,292321.9,16387.14272,2.394614752121192,3.306272315718052,0.78,1768055.9,738346.7000000001,386416.94,116873.9
2022-02-07,22973.392273,21544.6857314,1984.996,0.0,0.0,0.0,190.53934029,5260.787996360001,0.0,3157.00814,27563.497,0.0,0.0,0.0,887.22738,0.0,0.0,0.0,248680.9,11027.429478,2.427983212954124,3.195358402662229,0.72,1752389.6,721747.0,312066.69,97662.5
2022-02-14,7694.8149707,8079.256504800001,22110.335000000003,0.0,0.0,4633.1739909,330.76771975,5164.97800806,0.0,3385.6378387000004,31783.843,0.0,0.0,0.0,890.30097,0.0,0.0,0.0,178703.2,9379.49818,2.426661300166853,3.1302120646681466,0.72,1669474.3,687971.7000000001,298770.29,95447.3
2022-02-21,2735.637568300001,0.0,41990.273,0.0,2991.3783003,18382.055952,373.09291591,8058.64799012,0.0,3532.4342482,28132.338,0.0,0.0,0.0,890.03187,0.0,0.0,0.0,0.0,10925.995288,2.583091262341833,3.2573526183250467,0.48,1773309.2,686506.6,327903.03,100665.5
2022-02-28,0.0,0.0,13153.270000000002,0.0,3042.3422003,14084.126589,405.4986807040001,7593.988976209999,0.0,4065.4639935,8612.642998700001,0.0,0.0,0.0,582.84837,0.0,0.0,0.0,0.0,5670.489396000001,2.651524325197064,3.460363892506845,0.46,1793337.0,676341.9,338474.11000000004,97814.6
2022-03-07,0.0,0.0,1129.882,0.0,3440.6631454000003,13020.996404,1273.72235653,8253.3749948,0.0,3281.1739948,0.0,0.0,0.0,0.0,185.13027,0.0,0.0,0.0,0.0,11640.7769959,2.5113255802556083,3.332250239387169,0.72,1798604.6,716197.3,339298.05,101822.5
2022-03-14,0.0,0.0,2779.31966,0.0,5880.5805968,21790.204098,4165.74389101,7406.36000208,0.0,3993.197,0.0,0.0,0.0,0.0,12353.74816,0.0,0.0,0.0,0.0,33060.200316,2.4659418258060253,3.2884528216363225,0.46,1795010.1,727920.7000000001,339528.15,103248.6
2022-03-21,85887.07968100002,22118.736939,1938.7914,0.0,29109.6036218,26583.8514292,3464.8199270100004,7072.9619771200005,0.0,4598.9938878,21677.591,0.0,0.0,0.0,18752.16161,0.0,0.0,0.0,264381.0,30059.730389,2.4828931705703186,3.251015303848249,0.61,1892675.2,762286.2000000001,341334.5,104993.2
2022-03-28,94910.858926,13517.006607,5612.742811000001,0.0,20050.382138800003,23221.42355,2102.00292016,7318.73998518,0.0,4954.2745213,26927.368,0.0,171051.67300000004,0.0,18183.88819,0.0,0.0,0.0,350883.0,47009.215123,2.499988351523077,3.3560469806884408,0.66,2092538.5,837019.3,391518.79,116660.7
